slug,title,asset_count,evidence_terms,representative_assets,reason_not_promoted,owner_decision,owner_notes
baby-kangaroo,Baby Kangaroo Coloring Pages,6,baby kangaroo,chibi__chibi-plushie-baby-kangaroo-joey__74e2f66bcf; holiday__holiday-birthday-celebration-plushie-baby-kangaroo-joey-family__eec8a13ba3; holiday__holiday-christmas-plushie-baby-kangaroo-joey-family__2936137b39; holiday__holiday-halloween-costume-plushie-baby-kangaroo-joey-family__6f9b1745a9; mandala-geometry-patterns__mandala-geometry-patterns-plushie-baby-kangaroo-joey__b4f0b6f270; plushie__plushie-baby-kangaroo-family__6e06d034c4,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
bighorn,Bighorn Coloring Pages,6,bighorn,chibi__chibi-plushie-bighorn-sheep__aad072c5db; holiday__holiday-birthday-celebration-plushie-bighorn-sheep-family__6191afa76c; holiday__holiday-christmas-plushie-bighorn-sheep-family__b2777a80b3; holiday__holiday-halloween-costume-plushie-bighorn-sheep-family__e29f9afc07; plushie__plushie-bighorn-sheep__f5fdfd4d72; plushie__plushie-bighorn-sheep-family__c418fdb20f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
bighorn-sheep,Bighorn Sheep Coloring Pages,6,bighorn sheep,chibi__chibi-plushie-bighorn-sheep__aad072c5db; holiday__holiday-birthday-celebration-plushie-bighorn-sheep-family__6191afa76c; holiday__holiday-christmas-plushie-bighorn-sheep-family__b2777a80b3; holiday__holiday-halloween-costume-plushie-bighorn-sheep-family__e29f9afc07; plushie__plushie-bighorn-sheep__f5fdfd4d72; plushie__plushie-bighorn-sheep-family__c418fdb20f,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
birch,Birch Coloring Pages,6,birch,gardening__gardening-mushroom-birch-bolete__2312788246; gardening__gardening-mushroom-birch-polypore__337bc52c4b; gardening__gardening-mushroom-orange-birch-bolete__bf0c758754; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-birch-bolete__41a71817e7; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-birch-polypore__a02dd3053c; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-orange-birch-bolete__25bb0d2975,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
birthday-party-holiday,Birthday Party Holiday Coloring Pages,6,birthday party holiday,holiday__holiday-birthday-dinosaur-birthday-party__b28ce22af6; holiday__holiday-birthday-mermaid-birthday-party__48db16584a; holiday__holiday-birthday-pirate-birthday-party__d475606882; holiday__holiday-birthday-princess-birthday-party__e90de00d84; holiday__holiday-birthday-superhero-birthday-party__f895bca201; holiday__holiday-birthday-unicorn-birthday-party__508e70c49e,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
bolete,Bolete Coloring Pages,6,bolete,gardening__gardening-mushroom-bay-bolete__4ee30b4305; gardening__gardening-mushroom-birch-bolete__2312788246; gardening__gardening-mushroom-orange-birch-bolete__bf0c758754; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-bay-bolete__ffc787395a; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-birch-bolete__41a71817e7; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-orange-birch-bolete__25bb0d2975,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
camp,Camp Coloring Pages,6,camp,fantasy__fantasy-camp-bard-singing__895e7168fc; fantasy__fantasy-creatures-ogre-camp__c69cef70ee; fantasy__fantasy-ogre-camp__217a7a373f; fantasy__fantasy-orc-camp__d89e2f9827; fantasy__fantasy-scout-desert-camp__fd082e3328; midieval__midieval-fantasy-goblin-camp__a33043eaa5,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
car-dodge,Car Dodge Coloring Pages,6,car dodge,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-dodge-challenger__524aab86f0; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-dodge-ram-truck__8c6f201871; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-dodge-charger__15a278a942; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-dodge-charger-car__66163503e7; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-dodge-demon__f0b5d9d3ea; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-dodge-viper__dc3e94db7d,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
car-ferrari,Car Ferrari Coloring Pages,6,car ferrari,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-ferrari__d41a45abd8; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-ferrari-laferrari__0ee285bca5; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-ferrari-scorpion-mod__75017ead01; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ferrari-488-gtb__f728e4f33f; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ferrari-f8-tributo__69bd9008dc; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ferrari-sf90-stradale__df215dcb6b,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
car-nissan,Car Nissan Coloring Pages,6,car nissan,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-nissan__eeb3d259ef; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-nissan-370z__6d6c01804e; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-nissan-370z-car__c549727cca; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-nissan-armada__cfd8104625; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-nissan-gt-r__70b740562f; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-nissan-patrol__e178de2153,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
car-tesla,Car Tesla Coloring Pages,6,car tesla,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-tesla__aaa925357c; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-tesla-model-s__d5ac80ecac; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-tesla-model-3__f789385ff7; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-tesla-model-x__755c819002; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-tesla-model-y__45d2095f0d; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-tesla-roadster-2025__bc2e3030a8,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
cargo,Cargo Coloring Pages,6,cargo,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cargo-freight-train-with-bo__a0770cfa7a; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cargo-freight-train-with-co__aa6ebc02d8; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cargo-freight-train-with-lo__1d9488574e; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cargo-freight-train-with-ta__a8442f8cb7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-modern-diesel-locomotive-ha__aa94e5bbb1; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-planes-cargo-plane__0f3b019736,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
cherry,Cherry Coloring Pages,6,cherry,flowers__flowers-cherry-blossom__1cbc68b504; mandala-geometry-patterns__mandala-geometry-patterns-bakery-cherry-pie__c268e655da; mandala-geometry-patterns__mandala-geometry-patterns-japan-cherry-blossom-festival__a8c1e3cec3; mandala-geometry-patterns__mandala-geometry-patterns-japan-cherry-blossom-park__b13d44b517; mandala-geometry-patterns__mandala-geometry-patterns-japan-cherry-blossom-park-mandala-mascot__7fd35519ca; mandala-geometry-patterns__mandala-geometry-patterns-japan-cherry-blossom-tree__0b993cddf8,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
chibi-dungeon-magic,Chibi Dungeon Magic Coloring Pages,6,chibi dungeon magic,chibi__chibi-dungeon-magic-crystal-orb__54682316ed; chibi__chibi-dungeon-magic-crystal-staff__349438bde2; chibi__chibi-dungeon-magic-health-potion__99dae6814e; chibi__chibi-dungeon-magic-mirror-gate__21f64614e7; chibi__chibi-dungeon-magic-potion-table__5f5d85baaa; chibi__chibi-dungeon-magic-scrolls__b3f3c88ca4,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
city,City Coloring Pages,6,city,fantasy__fantasy-merfolk-city__c8143495e6; fantasy__fantasy-merfolk-city-under-water__112188da94; fantasy__fantasy-ruins-forgotten-city__fac5dfa99b; christmas__holiday-christmas-gingerbread-city-village-with-candy-streets-coloring-p__c3fff62b55; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-commuter-train-in-city-stat__3accc1151e; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-tram-streetcar-on-city-rail__5683e60bd9,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
cleric,Cleric Coloring Pages,6,cleric,fantasy__fantasy-cleric-forest-shrine__5a364af565; fantasy__fantasy-cleric-healing-light__bb0764d0c3; fantasy__fantasy-cleric-holy-tome__0ed6c854ac; fantasy__fantasy-cleric-moon-blessing__2bf9fe093d; fantasy__fantasy-cleric-sun-disc__309ac94cff; fantasy__fantasy-cleric-water-sanctum__aa69283c56,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
cougar,Cougar Coloring Pages,6,cougar,chibi__chibi-plushie-cougar__11aac42ddc; holiday__holiday-birthday-celebration-plushie-cougar-family__790d3ae5a3; holiday__holiday-christmas-plushie-cougar-family__cab2b65978; holiday__holiday-halloween-costume-plushie-cougar-family__1b2f0ed20a; plushie__plushie-cougar__7d81aefb4b; plushie__plushie-cougar-family__2e0a0ac2c1,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dice-plushies,Dice Plushies Coloring Pages,6,dice plushies,anime-girls__anime-girl-summoning-jutsu-eight-sided-dice-plushies__a8a4c1cb0f; anime-girls__anime-girl-summoning-jutsu-four-sided-dice-plushies__42d8960801; anime-girls__anime-girl-summoning-jutsu-six-sided-dice-plushies__5d7de27a02; anime-girls__anime-girl-summoning-jutsu-ten-sided-dice-plushies__60e8e28145; anime-girls__anime-girl-summoning-jutsu-twelve-sided-dice-plushies__d2e311ea3a; anime-girls__anime-girl-summoning-jutsu-twenty-sided-dice-plushies__a0670a7952,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dice-plushies-anime,Dice Plushies Anime Coloring Pages,6,dice plushies anime,anime-girls__anime-girl-summoning-jutsu-eight-sided-dice-plushies__a8a4c1cb0f; anime-girls__anime-girl-summoning-jutsu-four-sided-dice-plushies__42d8960801; anime-girls__anime-girl-summoning-jutsu-six-sided-dice-plushies__5d7de27a02; anime-girls__anime-girl-summoning-jutsu-ten-sided-dice-plushies__60e8e28145; anime-girls__anime-girl-summoning-jutsu-twelve-sided-dice-plushies__d2e311ea3a; anime-girls__anime-girl-summoning-jutsu-twenty-sided-dice-plushies__a0670a7952,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dire,Dire Coloring Pages,6,dire,anime-girls__anime-girl-summoning-jutsu-dire-wolf__6241cd9562; anime-girls__anime-girl-summoning-jutsu-dire-wolf-plushies__e93d390fee; chibi__chibi-dire-wolf__6717fb3d25; holiday__holiday-christmas-prehistoric-dire-wolf__5ef5e18199; mandala-geometry-patterns__mandala-geometry-patterns-prehistoric-dire-wolf__90dfef8677; dinosaurs__prehistoric-dire-wolf__825d92787d,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dog-english,Dog English Coloring Pages,6,dog english,chibi__chibi-animals-pets-dogs-english-mastiff__3c5e7719d4; chibi__chibi-animals-pets-dogs-english-springer-spaniel__6e6be10dc9; dogs__dogs-english-mastiff__d1948d8ea0; dogs__dogs-english-springer-spaniel__024f44493d; mandala-geometry-patterns__mandala-geometry-patterns-dogs-english-mastiff__1d03d7013e; mandala-geometry-patterns__mandala-geometry-patterns-dogs-english-springer-spaniel__7720e1c921,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dog-irish,Dog Irish Coloring Pages,6,dog irish,chibi__chibi-animals-pets-dogs-irish-setter__c7dd78cd9b; chibi__chibi-animals-pets-dogs-irish-wolfhound__3ede5fe21f; dogs__dogs-irish-setter__ed296dbe4e; dogs__dogs-irish-wolfhound__b6100b5ef9; mandala-geometry-patterns__mandala-geometry-patterns-dogs-irish-setter__20dc8c1f9b; mandala-geometry-patterns__mandala-geometry-patterns-dogs-irish-wolfhound__34304de6ab,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
door,Door Coloring Pages,6,door,chibi__chibi-dungeon-runic-stone-door__0f35ed5e60; chibi__chibi-dungeon-secret-passage-door__af7b103730; chibi__chibi-dungeon-secret-stone-door__3133159983; chibi__chibi-holiday-halloween-candy-trail-leading-to-haunted-door-coloring-pag__64ae58c6d8; chibi__chibi-holiday-halloween-halloween-garland-and-decorated-door-coloring-pa__21641bdc41; christmas__holiday-christmas-christmas-wreath-on-front-door-coloring-page__4c2d9ac697,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dragon-fantasy-mythology,Dragon Fantasy Mythology Coloring Pages,6,dragon fantasy mythology,fantasy__fantasy-mythology-dragons-earth-dragon__fb5e112409; fantasy__fantasy-mythology-dragons-fire-dragon__e3c7d3b9f1; fantasy__fantasy-mythology-dragons-ice-dragon__03ed3e1240; fantasy__fantasy-mythology-dragons-lava-dragon__135143c1e7; fantasy__fantasy-mythology-dragons-lightning-dragon__d7232583d5; fantasy__fantasy-mythology-dragons-wind-dragon__626b7a5c16,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dragon-holiday-birthday,Dragon Holiday Birthday Coloring Pages,6,dragon holiday birthday,holiday__holiday-birthday-celebration-dragon__bc7966ef21; holiday__holiday-birthday-celebration-fire-dragon__de6f8bbf33; holiday__holiday-birthday-celebration-ice-dragon__a135872bdb; holiday__holiday-birthday-celebration-plushie-baby-dragon-family__2bfeee327f; holiday__holiday-birthday-celebration-plushie-dragon-family__cbfe50b576; holiday__holiday-birthday-celebration-plushie-komodo-dragon-family__8319ab1593,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dragon-mandala,Dragon Mandala Coloring Pages,6,dragon mandala,mandala-geometry-patterns__mandala-geometry-patterns-japan-origami-dragon__8f004406f0; mandala-geometry-patterns__mandala-geometry-patterns-komodo-dragon__f13e5a9425; mandala-geometry-patterns__mandala-geometry-patterns-plushie-baby-dragon__59a3aeae49; mandala-geometry-patterns__mandala-geometry-patterns-plushie-cute-baby-dragon__fe1a69ef1f; mandala-geometry-patterns__mandala-geometry-patterns-plushie-dragon__cc3f78fbe9; mandala-geometry-patterns__mandala-geometry-patterns-plushie-komodo-dragon__e82332af9a,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dragon-mandala-geometry,Dragon Mandala Geometry Coloring Pages,6,dragon mandala geometry,mandala-geometry-patterns__mandala-geometry-patterns-japan-origami-dragon__8f004406f0; mandala-geometry-patterns__mandala-geometry-patterns-komodo-dragon__f13e5a9425; mandala-geometry-patterns__mandala-geometry-patterns-plushie-baby-dragon__59a3aeae49; mandala-geometry-patterns__mandala-geometry-patterns-plushie-cute-baby-dragon__fe1a69ef1f; mandala-geometry-patterns__mandala-geometry-patterns-plushie-dragon__cc3f78fbe9; mandala-geometry-patterns__mandala-geometry-patterns-plushie-komodo-dragon__e82332af9a,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dragon-plushie,Dragon Plushie Coloring Pages,6,dragon plushie,plushie__plushie-baby-dragon__5ed6730a4b; plushie__plushie-baby-dragon-family__f216d18d8b; plushie__plushie-dragon__698e75c51a; plushie__plushie-dragon-family__e1767e2711; plushie__plushie-komodo-dragon__3b74d686aa; plushie__plushie-komodo-dragon-family__98963914c3,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dragonfly,Dragonfly Coloring Pages,6,dragonfly,anime-girls__anime-girl-summoning-dragonfly-plushies__261eb5f297; chibi__chibi-enchanted-forest-fairy-with-dragonfly-wings__c807547c33; insects__insects-dragonfly-hovering-over-pond__afff36c5fd; mandala-geometry-patterns__mandala-geometry-patterns-dragonfly__5c8f423a9b; mandala-geometry-patterns__mandala-geometry-patterns-dragonfly-patterns__d30f3769c4; mandala-geometry-patterns__mandala-geometry-patterns-insects-dragonfly__ff15e0ffcb,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dungeon-magic,Dungeon Magic Coloring Pages,6,dungeon magic,chibi__chibi-dungeon-magic-crystal-orb__54682316ed; chibi__chibi-dungeon-magic-crystal-staff__349438bde2; chibi__chibi-dungeon-magic-health-potion__99dae6814e; chibi__chibi-dungeon-magic-mirror-gate__21f64614e7; chibi__chibi-dungeon-magic-potion-table__5f5d85baaa; chibi__chibi-dungeon-magic-scrolls__b3f3c88ca4,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
dwarf,Dwarf Coloring Pages,6,dwarf,chibi__chibi-dungeon-dwarf-warrior-with-axe__1f0a4e3c62; chibi__chibi-midieval-fantasy-dwarf__9484c117e0; fantasy__fantasy-dwarf-forge__0eafecaa48; fantasy__fantasy-dwarf-hammer-forge__49f3106676; fantasy__fantasy-dwarf-miner-cart__3c2aa3da20; midieval__midieval-fantasy-dwarf__6e6af4448b,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
earth-dragon,Earth Dragon Coloring Pages,6,earth dragon,anime-girls__anime-girl-summoning-jutsu-earth-dragon__710623c1c0; anime-girls__anime-girl-summoning-jutsu-earth-dragon-plushies__650c6964a0; chibi__chibi-earth-dragon__4623602646; chibi__chibi-earth-dragon-sitting__eb99d4b700; fantasy__fantasy-earth-dragon-burrow__a9e46db10c; fantasy__fantasy-mythology-dragons-earth-dragon__fb5e112409,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
eggs,Eggs Coloring Pages,6,eggs,anime-girls__anime-girl-dragon-eggs-hoodie-plushie__b1747e4988; anime-girls__anime-girl-dragon-eggs-hoodie-plushie__f41a8578b5; anime-girls__anime-girl-summoning-slime-eggs__9fd811b000; chibi__chibi-dungeon-dragon-eggs__caf2e39059; reptiles__reptiles-loggerhead-sea-turtle-laying-eggs__5a4d08c526; sea-life__sea-life-loggerhead-turtle-laying-eggs__bed0354668,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
emoji-plushies,Emoji Plushies Coloring Pages,6,emoji plushies,anime-girls__anime-girl-summoning-broken-heart-emoji-plushies__eced4f0e1f; anime-girls__anime-girl-summoning-emoji-plushies__18b8302632; anime-girls__anime-girl-summoning-face-with-emoji-plushies__d5a99f95db; anime-girls__anime-girl-summoning-heart-emoji-plushies__6a21fb9a3b; anime-girls__anime-girl-summoning-smile-emoji-plushies__9abb6d5732; anime-girls__anime-girl-summoning-smiling-emoji-plushies__df1ead91bf,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
emoji-plushies-anime,Emoji Plushies Anime Coloring Pages,6,emoji plushies anime,anime-girls__anime-girl-summoning-broken-heart-emoji-plushies__eced4f0e1f; anime-girls__anime-girl-summoning-emoji-plushies__18b8302632; anime-girls__anime-girl-summoning-face-with-emoji-plushies__d5a99f95db; anime-girls__anime-girl-summoning-heart-emoji-plushies__6a21fb9a3b; anime-girls__anime-girl-summoning-smile-emoji-plushies__9abb6d5732; anime-girls__anime-girl-summoning-smiling-emoji-plushies__df1ead91bf,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-centaur,Fantasy Centaur Coloring Pages,6,fantasy centaur,chibi__chibi-midieval-fantasy-centaur__eed9718a81; fantasy__fantasy-centaur-hunt__f7987d1033; fantasy__fantasy-centaur-huntress__31d679a0d3; fantasy__fantasy-centaur-starlit-field__16d9c7ca60; midieval__midieval-fantasy-centaur__3d764eae4f; midieval__midieval-fantasy-centaur-forest-archer__df8ec8f64d,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-cleric,Fantasy Cleric Coloring Pages,6,fantasy cleric,fantasy__fantasy-cleric-forest-shrine__5a364af565; fantasy__fantasy-cleric-healing-light__bb0764d0c3; fantasy__fantasy-cleric-holy-tome__0ed6c854ac; fantasy__fantasy-cleric-moon-blessing__2bf9fe093d; fantasy__fantasy-cleric-sun-disc__309ac94cff; fantasy__fantasy-cleric-water-sanctum__aa69283c56,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-elf,Fantasy Elf Coloring Pages,6,fantasy elf,chibi__chibi-midieval-fantasy-elf__bbd29f276e; fantasy__fantasy-elf-crystal-mage__833187c9ab; fantasy__fantasy-elf-forest-rider__8771d25b0f; fantasy__fantasy-elf-moon-archer__565c967253; fantasy__fantasy-elf-sun-swordsman__4d09831c4d; midieval__midieval-fantasy-elf__6bf249532e,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-mage,Fantasy Mage Coloring Pages,6,fantasy mage,chibi__chibi-midieval-fantasy-mage__b4b625a2e5; fantasy__fantasy-mage-arcane-burst__73e236402c; fantasy__fantasy-mage-crystal-staff__d615e65e3d; fantasy__fantasy-mage-floating-books__1d40801329; fantasy__fantasy-mage-ice-spell__7205982d1f; fantasy__fantasy-mage-rune-circle__74768d49e6,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-mythology,Fantasy Mythology Coloring Pages,6,fantasy mythology,fantasy__fantasy-mythology-dragons-earth-dragon__fb5e112409; fantasy__fantasy-mythology-dragons-fire-dragon__e3c7d3b9f1; fantasy__fantasy-mythology-dragons-ice-dragon__03ed3e1240; fantasy__fantasy-mythology-dragons-lava-dragon__135143c1e7; fantasy__fantasy-mythology-dragons-lightning-dragon__d7232583d5; fantasy__fantasy-mythology-dragons-wind-dragon__626b7a5c16,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-mythology-dragons,Fantasy Mythology Dragons Coloring Pages,6,fantasy mythology dragons,fantasy__fantasy-mythology-dragons-earth-dragon__fb5e112409; fantasy__fantasy-mythology-dragons-fire-dragon__e3c7d3b9f1; fantasy__fantasy-mythology-dragons-ice-dragon__03ed3e1240; fantasy__fantasy-mythology-dragons-lava-dragon__135143c1e7; fantasy__fantasy-mythology-dragons-lightning-dragon__d7232583d5; fantasy__fantasy-mythology-dragons-wind-dragon__626b7a5c16,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-shadow,Fantasy Shadow Coloring Pages,6,fantasy shadow,fantasy__fantasy-shadow-assassin__9992775ee6; fantasy__fantasy-shadow-dragon-deadly-crypt__cefd581fee; fantasy__fantasy-shadow-guardian__ac6c4c5553; fantasy__fantasy-shadow-knight__4c49f64f7f; fantasy__fantasy-shadow-mage__dc444aee6d; fantasy__fantasy-shadow-wraith-catacombs__7aef5b78c9,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-unicorn,Fantasy Unicorn Coloring Pages,6,fantasy unicorn,chibi__chibi-midieval-fantasy-unicorn__4034fb6294; fantasy__fantasy-unicorn-circle__b0c2653a9f; fantasy__fantasy-unicorn-flight__3c41554da5; fantasy__fantasy-unicorn-meadow__fc7462fded; fantasy__fantasy-unicorn-scenic-meadow__519a401e37; midieval__midieval-fantasy-unicorn__67dd5aa01e,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-werewolf,Fantasy Werewolf Coloring Pages,6,fantasy werewolf,anime-girls__anime-girl-transforming-into-fantasy-werewolf__af448e8995; anime-girls__anime-girl-transforming-into-fantasy-werewolf-full-moon__854ddd88d4; chibi__chibi-midieval-fantasy-werewolf__996a769caf; fantasy__fantasy-werewolf-forest-run__f13cab8b58; fantasy__fantasy-werewolf-howl__a4bef761ef; midieval__midieval-fantasy-werewolf__efe60ca7d3,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-wizard,Fantasy Wizard Coloring Pages,6,fantasy wizard,chibi__chibi-midieval-fantasy-wizard__5737cee6c0; fantasy__fantasy-wizard-familiar-owl__97a266eeba; fantasy__fantasy-wizard-planetarium__f2d65b45f4; fantasy__fantasy-wizard-tower-library__bbf0f2f24d; midieval__midieval-fantasy-wizard__3607af7b5a; midieval__midieval-fantasy-wizard-tower__f28a090754,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fantasy-wyvern,Fantasy Wyvern Coloring Pages,6,fantasy wyvern,chibi__chibi-midieval-fantasy-wyvern__cd49e23cb5; fantasy__fantasy-wyvern-canyon__90f461181e; fantasy__fantasy-wyvern-family-nest__2d868fd218; fantasy__fantasy-wyvern-nest__761cf599ad; midieval__midieval-fantasy-wyvern__0bade40b87; midieval__midieval-fantasy-wyvern-sky__b2b1633bf1,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
fence,Fence Coloring Pages,6,fence,chibi__chibi-holiday-halloween-black-cat-sitting-on-fence-under-moon-coloring-p__81d2ff4c89; chibi__chibi-holiday-halloween-crow-sitting-on-fence-post-coloring-page__975b8f919b; chibi__chibi-holiday-halloween-haunted-house-with-broken-fence-coloring-page__c23ca248b8; chibi__chibi-holiday-halloween-werewolf-jumping-over-haunted-fence-coloring-pag__7466595531; holiday__holiday-halloween-black-cat-sitting-on-fence-under-moon-coloring-page__108e733c60; reptiles__reptiles-fence-lizard__a4e31c22e8,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
ferrari,Ferrari Coloring Pages,6,ferrari,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-ferrari__d41a45abd8; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-ferrari-laferrari__0ee285bca5; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-ferrari-scorpion-mod__75017ead01; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ferrari-488-gtb__f728e4f33f; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ferrari-f8-tributo__69bd9008dc; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-ferrari-sf90-stradale__df215dcb6b,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
flight-fantasy,Flight Fantasy Coloring Pages,6,flight fantasy,fantasy__fantasy-chibi-phoenix-flight__bd83c0d408; fantasy__fantasy-creatures-hippogriff-flight__2686dd19b2; fantasy__fantasy-creatures-pegasus-flight__f054d45f27; fantasy__fantasy-pegasus-flight__a9b1693f42; fantasy__fantasy-unicorn-flight__3c41554da5; fantasy__fantasy-witch-broom-flight__e599575818,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
full-moon,Full Moon Coloring Pages,6,full moon,anime-girls__anime-girl-transforming-into-fantasy-werewolf-full-moon__854ddd88d4; chibi__chibi-holiday-halloween-haunted-house-on-hill-under-full-moon-coloring-p__6de4b2a74b; chibi__chibi-holiday-halloween-werewolf-howling-under-full-moon-coloring-page__a6643004a9; holiday__holiday-halloween-haunted-house-on-hill-under-full-moon-coloring-page__4846172bbc; holiday__holiday-halloween-werewolf-howling-under-full-moon-coloring-page__31b871d117; mandala-geometry-patterns__mandala-geometry-patterns-plushie-full-moon__a2a7910243,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
